"","SRR16352841ReadsPerGene.out.tab","SRR16352842ReadsPerGene.out.tab","SRR16352843ReadsPerGene.out.tab","SRR16352845ReadsPerGene.out.tab","SRR16352846ReadsPerGene.out.tab","SRR16352847ReadsPerGene.out.tab","SRR16352849ReadsPerGene.out.tab","SRR16352850ReadsPerGene.out.tab","SRR16352851ReadsPerGene.out.tab","SRR16352854ReadsPerGene.out.tab","SRR16352855ReadsPerGene.out.tab","SRR16352856ReadsPerGene.out.tab","SRR16352859ReadsPerGene.out.tab","SRR16352860ReadsPerGene.out.tab","SRR16352861ReadsPerGene.out.tab"
"lncRNA:CR46337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hpRNA:CR32205",4,7,2,6,6,6,14,8,1,7,1,4,5,0,36
"lncRNA:CR46336",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"lncRNA:TS27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:TS26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:TS25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:TS20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:TS9",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:TS6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46328",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:TS4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46326",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:TS3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:TS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:TS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pre-rRNA:CR45856",1,196,2,7,23,21,1,3,2,22,20,8,7,6,6
"asRNA:CR44019",20,21,28,10,56,32,52,69,15,66,73,70,65,46,27
"hpRNA:CR33940",325,212,323,59,97,108,249,281,69,140,168,177,329,230,322
"hpRNA:CR32207",178,116,129,32,61,23,87,106,43,57,81,137,113,57,377
"hpRNA:CR18854",10590,10479,10223,4467,9652,12447,9094,17199,4587,18621,11799,14024,12361,10711,7185
"lncRNA:CR46322",0,0,3,1,0,2,0,2,0,0,0,0,2,3,0
"mir-9388",0,0,0,2,0,3,0,0,0,0,1,0,2,0,0
"lncRNA:CR46299",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mir-9383",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mir-9374",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mir-9380",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mir-9377",0,3,0,0,0,5,0,0,0,0,5,0,0,5,0
"mir-9375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mir-9385",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mir-9369",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mir-9373",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mir-9379",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mir-9371",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mir-9370",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mir-9378",23,21,17,2,14,21,29,27,2,20,32,22,15,17,13
"mir-9382",23,18,59,6,46,36,24,25,3,6,18,8,19,13,22
"mir-9372",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mir-9381",0,12,2,0,0,1,1,3,0,5,1,0,4,0,0
"mir-9376",9,0,1,2,4,5,16,15,5,13,11,13,11,16,19
"mir-9384",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"lncRNA:CR45363",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"lncRNA:CR45334",1,0,0,7,8,3,0,2,0,26,11,2,2,0,6
"lncRNA:CR45236",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44801",0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"lncRNA:CR44601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44414",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR42790",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"lncRNA:noe",62,56,68,23,81,65,100,153,16,92,135,110,108,70,30
"lncRNA:CR32553",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"lncRNA:CR31526",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"lncRNA:CR14310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28SrRNA:CR45844",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2SrRNA:CR45843",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5.8SrRNA:CR45842",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18SrRNA:CR45841",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pre-rRNA:CR45847",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2SrRNA:CR45840",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5.8SrRNA:CR45839",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18SrRNA:CR45838",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pre-rRNA:CR45846",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28SrRNA:CR45837",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2SrRNA:CR45836",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5.8SrRNA:CR45852",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18SrRNA:CR41548",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pre-rRNA:CR45845",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Su(Ste):CR45796",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Su(Ste):CR45794",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Su(Ste):CR45795",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2SrRNA:CR45864",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5.8SrRNA:CR40454",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:flam",1,3,5,2,0,0,2,2,0,1,3,3,2,0,5
"lncRNA:CR43193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46147",0,0,0,0,1,1,0,1,0,0,3,0,2,3,1
"lncRNA:CR46211",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR32582",57,20,38,29,26,20,20,37,8,38,45,30,25,17,24
"lncRNA:CR45523",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43132",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"asRNA:CR45995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR32636",21,12,24,61,64,35,14,9,6,63,46,37,25,21,11
"lncRNA:CR32652",2,0,0,0,1,0,1,0,0,0,0,0,2,0,1
"asRNA:CR46195",0,0,2,0,3,2,0,0,0,0,0,0,0,0,0
"lncRNA:CR43695",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43278",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46245",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"lncRNA:CR45792",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45484",5,0,2,1,0,4,0,0,0,0,0,2,0,2,0
"lncRNA:CR46156",0,1,0,1,0,1,0,2,0,0,0,0,0,0,0
"lncRNA:CR44957",3,0,4,1,1,3,0,1,0,4,0,0,2,1,2
"lncRNA:CR46247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46119",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR34335",7132,4576,6275,5396,12515,10408,3719,6311,1365,5464,6278,4758,3827,3935,4082
"lncRNA:CR46120",0,0,0,0,0,0,0,2,0,1,3,0,1,0,1
"lncRNA:CR46243",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNaseP:RNA",134,142,160,31,104,109,151,187,36,122,104,70,151,129,97
"asRNA:CR45929",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46207",0,0,0,0,0,0,0,0,0,7,0,0,8,2,1
"lncRNA:CR46248",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"lncRNA:CR46117",0,0,1,0,0,0,0,1,0,1,0,2,3,0,1
"asRNA:CR45797",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR46065",13,5,13,3,3,7,6,9,1,12,9,8,3,1,2
"lncRNA:CR46220",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46219",2,0,0,0,1,4,0,4,0,1,2,3,6,3,2
"lncRNA:CR46115",0,0,0,0,2,2,2,1,2,0,1,0,0,0,4
"lncRNA:CR46236",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"lncRNA:CR46114",0,0,0,0,2,1,2,0,0,0,1,0,0,0,0
"lncRNA:CR46113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR46082",2,5,0,2,3,2,1,4,0,0,3,6,1,3,0
"lncRNA:CR46112",18,10,21,2,6,15,6,9,3,11,12,4,12,6,6
"lncRNA:CR46111",0,0,0,0,1,0,0,0,0,0,7,1,0,2,5
"lncRNA:CR46110",5,8,8,5,15,16,3,18,2,6,8,15,3,3,4
"asRNA:CR46109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"lncRNA:CR46108",1,0,0,0,0,0,0,2,1,2,0,1,0,0,0
"asRNA:CR46107",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"lncRNA:CR46106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR46105",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"asRNA:CR46104",0,0,0,0,4,0,0,1,0,1,3,0,0,1,0
"lncRNA:CR46103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
