"","SRR16352841ReadsPerGene.out.tab","SRR16352842ReadsPerGene.out.tab","SRR16352843ReadsPerGene.out.tab","SRR16352845ReadsPerGene.out.tab","SRR16352846ReadsPerGene.out.tab","SRR16352847ReadsPerGene.out.tab","SRR16352849ReadsPerGene.out.tab","SRR16352850ReadsPerGene.out.tab","SRR16352851ReadsPerGene.out.tab","SRR16352854ReadsPerGene.out.tab","SRR16352855ReadsPerGene.out.tab","SRR16352856ReadsPerGene.out.tab","SRR16352859ReadsPerGene.out.tab","SRR16352860ReadsPerGene.out.tab","SRR16352861ReadsPerGene.out.tab"
"lncRNA:CR45349",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43357",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44770",0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
"lncRNA:CR44771",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"lncRNA:CR45331",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45727",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43805",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44858",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45459",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45460",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44857",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44856",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44855",0,0,0,1,1,0,3,0,0,0,1,1,0,2,0
"lncRNA:CR44854",0,0,0,2,3,0,0,0,0,1,3,0,0,0,0
"lncRNA:CR44853",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44852",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"lncRNA:CR45693",0,0,0,0,0,0,2,1,0,1,0,0,0,0,0
"lncRNA:CR45303",0,2,2,2,3,0,0,1,0,4,0,0,0,0,0
"lncRNA:CR44731",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44730",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45726",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44732",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"lncRNA:CR44733",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"lncRNA:CR44851",15,16,10,4,7,13,14,14,7,9,15,8,5,15,32
"asRNA:CR44850",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44729",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"lncRNA:CR44216",1,0,0,0,1,1,0,0,0,0,0,0,4,0,0
"lncRNA:CR44728",0,0,5,0,0,0,0,0,0,1,4,0,0,0,0
"lncRNA:CR44727",1,4,1,0,1,5,3,1,0,0,1,0,0,1,0
"lncRNA:CR45284",4,1,0,0,1,0,0,0,0,0,1,0,1,2,3
"lncRNA:CR31840",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45352",1,3,0,0,0,1,0,1,1,2,1,0,0,3,0
"asRNA:CR44849",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"lncRNA:CR44848",1,0,0,0,0,4,3,0,0,0,2,0,1,0,0
"asRNA:CR44847",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44846",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44726",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44973",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45684",0,0,0,0,0,0,0,0,0,0,0,4,2,0,0
"asRNA:CR45683",18,27,21,5,23,12,8,35,4,20,19,6,20,6,4
"asRNA:CR44600",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"asRNA:CR44599",2,4,4,0,1,1,0,0,0,0,0,0,2,1,1
"asRNA:CR44972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45330",6,5,4,3,7,6,9,10,9,6,14,24,10,12,22
"lncRNA:CR45461",10,15,25,9,13,23,23,22,10,13,20,14,26,18,39
"lncRNA:CR45447",12,12,9,2,8,23,15,33,6,9,25,12,27,13,34
"lncRNA:CR44971",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44970",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44595",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44596",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"lncRNA:CR44597",0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
"lncRNA:CR44598",0,0,0,0,0,5,0,0,0,0,2,0,0,0,0
"lncRNA:CR45283",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"lncRNA:CR45282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44594",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44593",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR44592",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44590",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44591",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44589",4,1,2,0,0,2,2,1,0,4,0,1,4,2,6
"lncRNA:CR44587",0,0,0,0,0,0,1,0,2,16,1,6,0,3,1
"lncRNA:CR44588",0,0,1,0,2,0,2,0,0,0,0,0,0,0,0
"asRNA:CR43936",0,4,1,1,0,0,2,3,2,1,0,0,2,0,0
"lncRNA:CR44494",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43681",0,0,0,0,3,0,0,0,1,1,0,3,0,3,2
"lncRNA:CR45014",3,2,3,0,0,0,2,12,1,3,6,2,16,17,4
"lncRNA:CR45013",0,0,0,0,0,0,2,4,1,1,0,0,1,0,3
"lncRNA:CR44586",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44481",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44585",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"lncRNA:CR44480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44584",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44479",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44583",0,1,0,1,0,0,1,0,0,0,2,0,0,1,0
"lncRNA:CR44497",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45725",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44496",0,0,0,0,0,0,1,0,0,0,2,1,0,0,0
"lncRNA:CR44493",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44495",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44492",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44491",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44490",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45454",0,0,1,0,0,1,9,7,1,4,3,6,6,1,6
"lncRNA:CR45453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44581",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44582",0,0,0,1,2,3,2,0,0,1,0,0,0,0,0
"lncRNA:CR44407",0,1,0,0,1,1,0,3,0,0,0,0,0,0,0
"lncRNA:CR45692",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44580",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45351",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44618",0,0,0,0,0,0,0,0,3,0,0,4,0,0,0
"lncRNA:CR45375",1,2,0,0,0,2,0,0,0,2,2,4,1,4,2
"asRNA:CR44968",7,2,3,0,1,13,2,2,2,2,3,0,0,1,0
"asRNA:CR44995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44845",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44875",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"lncRNA:CR44874",19,7,27,1,2,17,22,36,9,2,20,11,16,4,10
"asRNA:CR44873",3,4,4,2,8,9,2,9,3,15,3,9,2,2,1
"lncRNA:CR13130",5,0,6,0,0,0,0,4,0,0,4,0,7,13,1
"asRNA:CR44872",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44701",0,0,0,0,1,0,0,0,0,0,0,0,4,0,0
"lncRNA:CR43404",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44802",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45457",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45456",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR42844",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44615",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44616",1,1,1,0,0,0,0,0,0,2,0,0,0,0,2
"lncRNA:CR44617",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44482",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44483",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44352",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45365",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR44992",44,18,50,11,23,38,27,52,13,136,143,54,34,47,21
"lncRNA:CR44991",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45343",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45341",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45371",6,4,0,0,9,2,1,2,0,0,0,3,0,0,1
"asRNA:CR45257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR44996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45364",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"asRNA:CR45008",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44825",6,3,0,1,2,0,2,9,1,6,3,4,0,4,1
"lncRNA:CR45718",0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"asRNA:CR44990",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44799",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45370",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45304",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR44989",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44613",0,0,0,1,0,2,0,2,0,1,3,2,3,2,6
"lncRNA:CR44610",0,0,0,0,0,0,0,1,0,2,0,0,0,0,1
"lncRNA:CR44612",0,0,0,0,0,2,0,0,0,0,9,2,0,2,1
"lncRNA:CR44611",0,1,4,1,1,0,0,0,0,0,0,3,0,1,0
"lncRNA:CR44326",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"lncRNA:CR44914",6,0,0,0,0,0,0,0,0,0,3,0,1,1,10
"lncRNA:CR44915",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44913",22,21,21,2,10,11,12,2,3,15,10,5,14,8,3
"lncRNA:CR44776",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"lncRNA:CR44775",0,0,0,0,1,0,0,1,0,0,1,1,0,3,0
"lncRNA:CR45463",1,0,0,1,0,1,1,0,2,3,0,5,1,0,1
"lncRNA:CR44778",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"lncRNA:CR44777",0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
"lncRNA:CR44823",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44824",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45719",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"lncRNA:CR44773",6,5,8,5,4,4,4,2,1,5,4,6,6,1,2
"lncRNA:CR44986",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45289",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44820",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR44969",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45288",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR44987",26,26,24,8,66,30,26,39,4,43,53,38,34,18,29
"lncRNA:CR44579",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44819",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44578",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44821",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45340",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44577",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44822",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45339",0,1,0,0,0,0,0,0,1,0,0,2,0,0,0
"lncRNA:CR44796",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44576",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44795",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"asRNA:CR45009",4,0,2,1,1,0,1,1,0,0,3,1,3,3,1
"lncRNA:CR44575",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44794",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45502",7,6,6,1,3,5,8,19,4,7,10,16,5,16,4
"asRNA:CR31912",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"asRNA:CR44793",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45464",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR44818",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43715",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44997",15,1,5,2,7,6,3,4,2,5,6,2,4,6,1
"lncRNA:CR43962",0,0,2,0,2,0,0,0,0,0,2,0,0,0,1
"lncRNA:CR44745",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44712",0,0,0,0,0,0,0,0,0,4,0,1,0,0,3
"lncRNA:CR42850",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44711",0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
"lncRNA:CR44985",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45082",3,7,9,1,13,7,5,8,2,16,4,26,12,6,13
"lncRNA:CR45730",2,1,1,2,2,8,2,4,0,4,4,4,9,1,1
"lncRNA:CR45511",2,0,0,0,1,0,0,2,0,5,3,1,0,0,1
"lncRNA:CR44742",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45510",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"lncRNA:CR44743",0,0,0,0,0,0,2,1,0,0,7,0,0,0,0
"lncRNA:CR45509",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"lncRNA:CR45508",1,4,1,1,0,0,1,0,0,0,0,0,0,0,0
"lncRNA:CR44744",1,0,1,0,0,0,1,1,6,3,1,2,4,0,1
"lncRNA:CR45507",0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
"lncRNA:CR45003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45305",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45291",1,0,4,4,1,3,1,6,1,9,4,8,2,1,6
"asRNA:CR45611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45297",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"asRNA:CR45612",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45452",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45506",6,4,0,0,0,0,0,0,0,0,1,0,0,0,0
"lncRNA:CR44609",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR44374",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR44431",5,5,9,0,1,5,2,6,2,12,10,12,2,9,7
"lncRNA:CR44700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44710",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44699",0,0,0,0,2,0,0,2,0,1,0,0,1,1,0
"lncRNA:CR45059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44698",0,0,1,0,0,1,1,1,0,0,0,1,5,0,1
"lncRNA:CR44697",0,1,1,0,0,0,4,1,0,1,0,0,1,0,3
"lncRNA:CR45610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45466",0,1,2,0,3,0,0,1,0,2,0,3,4,1,0
"lncRNA:CR45296",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45295",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45505",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45294",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45504",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44058",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"lncRNA:CR45465",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"lncRNA:CR45720",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44608",5,8,3,0,19,7,12,18,0,13,16,11,6,12,6
"lncRNA:CR45628",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"asRNA:CR44984",0,0,0,0,3,0,0,1,1,0,0,0,2,0,6
"lncRNA:CR44885",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45344",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"asRNA:CR45501",6,1,2,2,5,4,1,5,0,6,2,2,9,3,2
"lncRNA:CR45450",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45449",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"lncRNA:CR44889",110,104,67,24,47,78,49,72,27,61,41,47,75,45,30
"asRNA:CR44512",10,11,4,3,4,6,4,2,0,8,8,7,4,2,6
"lncRNA:CR45451",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"asRNA:CR44340",6,2,0,2,5,4,4,3,0,1,1,1,0,3,1
"lncRNA:CR44983",0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
"lncRNA:CR43260",0,0,0,0,1,0,0,0,0,0,3,2,2,0,0
"lncRNA:CR44311",10,15,20,1,7,5,6,9,4,0,7,1,2,2,5
"lncRNA:CR45711",4,3,1,1,2,1,0,3,0,4,0,1,0,1,1
"lncRNA:CR44310",21,4,1,9,28,6,1,0,5,4,3,40,1,2,3
"lncRNA:CR45503",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44747",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44708",21,10,9,2,13,4,6,1,0,1,4,4,5,3,8
"lncRNA:CR44309",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"asRNA:CR44841",0,0,7,0,2,1,0,2,0,1,0,0,0,0,0
"lncRNA:CR44308",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45513",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45512",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45299",1,1,2,0,2,3,0,3,4,3,5,6,1,4,3
"lncRNA:CR43928",11,25,11,8,13,11,6,15,2,14,6,3,0,4,4
"lncRNA:CR44707",0,2,4,0,0,0,3,0,0,0,0,0,0,0,2
"lncRNA:CR45710",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45372",4,9,2,1,2,7,8,12,2,5,7,0,3,0,2
"lncRNA:CR45514",0,0,0,0,0,0,0,1,0,0,4,0,0,0,0
"asRNA:TS15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44705",0,2,3,0,0,0,1,1,0,4,2,1,1,1,0
"lncRNA:CR44791",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"lncRNA:CR43289",0,1,0,0,4,0,0,0,0,1,1,0,1,1,0
"lncRNA:CR45301",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45627",0,2,0,0,2,2,1,5,0,0,0,2,3,1,0
"lncRNA:CR44485",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"asRNA:CR45714",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44484",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45609",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"lncRNA:CR45706",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"lncRNA:CR45608",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45338",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR15061",0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"lncRNA:CR45337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45613",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45607",2,0,2,16,35,6,0,1,0,1,9,3,2,0,3
"asRNA:CR45342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45622",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44772",7,6,8,3,3,7,11,4,2,8,8,2,3,2,3
"lncRNA:CR45606",3,0,2,1,5,3,1,5,1,0,4,2,1,0,4
"lncRNA:TS11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45605",22,11,15,11,11,14,7,9,5,3,5,6,20,8,10
"lncRNA:CR44789",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"lncRNA:CR44790",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44691",0,0,3,0,0,0,0,0,1,1,0,0,0,5,0
"lncRNA:CR44607",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44692",2,0,0,0,6,1,0,0,0,1,3,1,3,0,0
"lncRNA:CR45286",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44754",15,17,11,1,7,4,21,17,1,8,4,5,6,5,3
"lncRNA:CR44912",11,24,20,1,10,0,21,20,9,6,3,1,4,19,9
"asRNA:CR45001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR44982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44788",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45485",0,2,1,0,1,2,0,0,1,0,2,0,0,0,2
"lncRNA:CR45527",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"lncRNA:CR44787",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR45000",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45290",1,13,2,12,17,14,11,11,3,11,7,11,3,7,9
"lncRNA:CR44384",2,0,0,0,0,1,0,1,0,3,4,1,0,0,0
"lncRNA:CR44808",0,2,2,0,0,0,2,0,2,0,3,0,0,0,0
"lncRNA:CR45298",12,10,18,4,7,1,7,8,2,14,3,3,15,6,6
"lncRNA:CR45526",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"asRNA:CR45712",1,4,2,4,0,9,8,5,1,8,12,10,0,5,9
"lncRNA:CR45524",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR44976",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45695",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44893",0,0,2,0,0,0,2,0,0,1,0,0,1,0,0
"lncRNA:CR44603",0,0,1,0,4,0,1,0,0,6,17,2,0,2,2
"lncRNA:CR44423",7,3,4,2,3,7,3,2,3,3,2,15,0,4,2
"asRNA:CR44897",1,0,0,0,0,2,0,0,0,0,0,1,0,0,2
"lncRNA:CR44354",0,0,0,0,2,3,0,1,0,0,0,0,2,0,0
"lncRNA:CR44353",0,0,0,0,3,4,0,0,0,0,0,1,0,0,0
"lncRNA:CR44898",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44888",0,0,0,0,3,0,1,0,0,0,0,0,0,1,0
"lncRNA:CR45006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR44998",0,5,1,3,5,4,6,4,2,0,0,0,6,2,3
"lncRNA:CR45005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45346",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"asRNA:CR44961",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"lncRNA:CR45717",3,1,0,0,0,0,0,0,0,0,0,1,3,0,1
"asRNA:CR44429",14,10,16,10,29,21,34,11,8,24,10,6,26,16,24
"lncRNA:CR44664",3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"lncRNA:CR45261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR44663",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"lncRNA:CR45348",0,0,0,0,0,0,0,0,0,0,2,0,3,3,0
"lncRNA:CR44430",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45345",1,0,0,1,1,1,4,8,1,1,4,6,0,2,2
"lncRNA:CR45259",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
