"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"cac",205.096576622158,-0.622332398788223,0.223772741674175,-2.78109118265339,0.00541765180620502,0.183037306072336
"Cngl",13.6827190088932,0.156247809756861,0.777168479046601,0.201047538557585,0.840661402487536,0.98101787566208
"CG11836",165.750196843739,-0.105435663903168,0.276727436281601,-0.381009072753723,0.703196516335498,0.959986092240596
"CG33096",9.05442618280752,1.0959280037547,0.776209335813364,1.41189747815428,0.157980150403146,0.665110144793877
"bam",11.7870903887048,3.8473775148989,1.5047991294905,2.55673826459586,0.0105658684214497,0.254761386072497
"sisRNA:CR46364",34.2405015784238,0.184460254196921,0.560761494037963,0.328946006739245,0.742196499222023,0.966161736651623
"CG5890",5.42368265842701,0.768344345109142,0.960740199131774,0.799742059095163,0.423860259188039,0.876047997926214
"CG17189",178.191792926639,-0.34504123064991,0.278958703346656,-1.23689000024184,0.216127922968758,0.730057389845873
"CG11951",199.75570563864,0.263523817228542,0.389927227943616,0.675828201632146,0.499149727092753,0.904758843599038
"dco",1754.30578925322,0.176541174536036,0.17968961286686,0.982478462273964,0.325864188454305,0.818773824245255
"CG32809",143.974076549742,-0.0487806775875864,0.284274019767801,-0.171597382087295,0.863754065717284,0.98393783103383
"CG3078",7.21967428690688,1.11372310676134,1.33353706979877,0.835164714940697,0.403624973590062,0.865547914284242
"CG43689",3.18616467106994,3.89577722993463,2.40128854527034,1.62236947226017,0.104724261596826,NA
"ctp",4533.70293598303,0.0113283414082239,0.112249752654407,0.100920858534998,0.919613284926358,0.993794660590883
"CG9650",15.1711678553593,1.18361830645994,0.982621655563998,1.20455141585555,0.228376521932978,0.744612864283577
"ct",397.595974936405,0.738456628160611,0.205428205430381,3.5947187807707,0.000324742157764976,0.0346070901953985
"mei-P26",1363.53003414841,0.59540542608203,0.221090237849556,2.69304258692409,0.0070803224495339,0.207177435201277
"CG1354",3189.86503389035,0.0431423942180544,0.0926291048468925,0.465754195610169,0.641391454794992,0.942826410600115
"CG17841",9894.8464033784,-0.17389797999822,0.230948392020441,-0.752973330867916,0.451465940157986,0.891639971222615
"flw",1524.02471671864,0.236005958008386,0.160926318758961,1.46654667694152,0.142499414700956,0.651708187696523
"ras",1889.2123096351,0.290094637825722,0.135003585547138,2.14879209800271,0.0316508840796916,0.390162133325076
"sbr",1623.21915454681,0.130995646905195,0.106892624316117,1.22548817323258,0.220391343434307,0.735374187410831
"5PtaseI",298.540636782409,0.360617479078126,0.192786512104498,1.87055346943907,0.0614069991909205,0.490784693669509
"Nmnat",329.679383209705,0.0897478567535966,0.142544152939797,0.629614438071699,0.528946874907932,0.914335680053977
"CG31145",4537.80842815409,0.0880594189843358,0.157243894626758,0.560018048353216,0.575467127130555,0.930590028080417
"CASK",1352.4292182725,0.101793894421005,0.125087429308145,0.813781968212349,0.415769866806835,0.874487216781782
"CG17279",21.4730562165276,-0.396073837395809,0.64550336047058,-0.613589117657057,0.539486876494081,0.919252093451329
"Syp",5648.2284044649,0.116593914996801,0.159660850697548,0.730259888303299,0.465231341693707,0.894767506608299
"CG31122",521.323925034351,-0.0478308675804756,0.163357001945145,-0.292799616857177,0.769675321129973,0.970475519993409
"hpRNA:CR46342",42.0007056486898,0.142341768056644,0.429109489988638,0.331714332536465,0.740104977109248,0.966161736651623
"hpRNA:CR32205",9.89437000219424,0.788138664655385,1.53485737430492,0.513493095742725,0.60760643915455,0.936873101290928
"pre-rRNA:CR45856",4.31203236828662,1.31658202740167,1.11833408313842,1.17727077020393,0.239087449638506,0.755718696653764
"asRNA:CR44019",43.6793434041758,-0.133142158863125,0.431430921985401,-0.308605971612832,0.757621277768533,0.968416773649278
"hpRNA:CR33940",236.565972522206,0.386544014240677,0.223308511837101,1.73098647723134,0.0834541763659831,0.545168847914614
"hpRNA:CR32207",129.375807939809,0.901631366114654,0.665829173093897,1.35414818477397,0.175689106087968,0.682749240049644
"hpRNA:CR18854",10064.6369506178,-0.24092347418073,0.243086048277666,-0.991103668383037,0.321634961928022,0.817584455624591
"lncRNA:CR46322",0.99079338906273,1.29514272355151,2.79533900670474,0.463322237640965,0.643133408423347,NA
"mir-9377",0.811782177705026,2.87012355080868,3.95691363113593,0.725343997459136,0.468241020388137,NA
"mir-9378",15.4284480778275,-0.381908288782234,0.690144316526617,-0.553374532886564,0.580006973896152,0.931290959574327
"mir-9382",16.192505484016,-0.0222721282662685,0.609628678853697,-0.0365339247296362,0.970856628734128,0.996225409581419
"mir-9381",1.05685220878449,0.0340996111612405,2.84022804237778,0.0120059413020558,0.990420874924445,NA
"mir-9376",13.6214975293472,0.149580412141586,0.626852930983094,0.238621221579037,0.811399307983244,0.974859266094351
"lncRNA:CR45334",1.4392361045266,1.95382744165369,2.62751052022134,0.74360404139851,0.457116057547562,NA
"lncRNA:noe",71.4968453430922,-0.377610889418591,0.547654226949667,-0.689506025584453,0.490504882670057,0.901020551720753
"lncRNA:flam",1.60216437049139,0.789824340125347,2.03070941327333,0.388940108792926,0.69732045102927,NA
"lncRNA:CR46147",1.0366926351593,2.15834007494691,2.2194444761911,0.972468605590419,0.330817475879761,NA
"lncRNA:CR32582",20.9873676702354,-0.124950129811238,0.475409177744342,-0.262826499067781,0.792684310062846,0.972808030880333
"lncRNA:CR32636",14.652764336642,0.621795284681509,0.7025127842803,0.885101735648151,0.376101763438603,0.851289838297282
"lncRNA:CR45484",0.32471287108201,1.54217945095723,4.03145974866169,0.382536239254078,0.702063654032275,NA
