"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"lncRNA:CR34335",7971.53185398492,1.04296351759097,0.149056968253055,6.99707990719577,2.61352244613904e-12,3.71161023639965e-10
"RNaseP:RNA",107.431459683309,-0.535802055155645,0.268637673026326,-1.99451569513535,0.0460957264885052,0.179634842918074
"lncRNA:CR46207",0,NA,NA,NA,NA,NA
"asRNA:CR46065",6.97723184131359,-0.829188906695333,0.859795685058293,-0.964402265683753,0.334844286763284,0.60774454808636
"lncRNA:CR46219",1.03672486118211,1.54349654581596,2.48781390074074,0.620422832011828,0.534979444399628,NA
"lncRNA:CR46115",0.61658992055298,2.98633161811263,3.25424152485863,0.917673625421015,0.358789759636611,NA
"asRNA:CR46082",2.53826102429846,0.394861708912218,1.48001409761314,0.266795910626136,0.789626303017491,NA
"lncRNA:CR46112",10.9582628972841,-0.792611133768575,0.727467692614098,-1.08954822573686,0.275912200319957,0.550998284131806
"lncRNA:CR46111",0.155499942773072,1.4147341407704,4.0804728567969,0.346708381704796,0.728810412685207,NA
"lncRNA:CR46110",9.59558047593527,1.08525719318124,0.705974069082816,1.53724795386775,0.124232601322576,0.343833773879686
"lncRNA:CR45991",1.83619113357088,-0.446034928401783,1.92115724969796,-0.232169921786417,0.816406038449269,NA
"lncRNA:CR46085",5.74234545296509,-0.51547077313962,0.908966568395493,-0.567095414795649,0.570649357949612,0.792820546377869
"lncRNA:CR46084",1.24368114956956,2.82370626701026,2.10068291230875,1.34418490790067,0.178888600739478,NA
"lncRNA:CR42765",9.96140145416454,3.11179559146677,0.99369592179173,3.13153704591632,0.00173893845593788,0.0162940326041437
"lncRNA:CR46062",9.07322893601938,0.35171680289181,0.724361011297584,0.485554574868356,0.627283009819235,0.828651377691088
"lncRNA:CR46061",30.0508036025506,-1.30383454966784,0.491662165113481,-2.65189116060395,0.00800423389287866,0.0507325535930085
"lncRNA:CR46060",5.53143805024679,-0.703615061668003,1.00864690384946,-0.697583127438038,0.485437936395341,0.735332606223036
