"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"cac",166.489216541247,-0.104802198827538,0.363925336011647,-0.287977198774048,0.773364192412048,0.913520809807112
"Cngl",13.2550646457137,0.305706412997402,0.824441747774812,0.370804139676952,0.710783417819091,0.88381848456291
"CG11836",202.433585434614,-0.610777859127299,0.292535074632959,-2.08787906849678,0.0368087447644106,0.201703271734483
"CG33096",11.4549321683298,0.157829005106603,0.893605799870657,0.176620390254235,0.859806576772816,0.951374220641596
"bam",12.8231650465362,2.39106071038741,1.15593437955866,2.06850903707902,0.0385921817077747,0.207352612402854
"sisRNA:CR46364",38.2983005603046,-0.133476478247698,0.625090388242632,-0.213531484019377,0.830912434639172,0.936902284764632
"CG5890",5.85108964478923,0.531340692847547,0.994428601090686,0.534317589281699,0.593121824877052,0.82138860439506
"CG17189",138.093512545263,0.386034859210424,0.341254620350916,1.13122236649414,0.257961510252337,0.56757570974492
"CG11951",225.627236134164,-0.0973644161414608,0.475019422336465,-0.204969337174798,0.837596081779517,0.940181723029689
"dco",1814.48466850811,0.0706147258593874,0.148699902407877,0.474880781466114,0.634871950457235,0.842945419967969
"CG32809",172.273903874463,-0.511881928883912,0.296905721176013,-1.72405545725559,0.0846978321537748,0.312996488268295
"CG3078",11.3686111505544,-0.318818968428347,1.03662236796465,-0.307555555698003,0.758420543284859,0.907876865945585
"CG43689",3.79662380386306,2.09860628412797,1.7423791526215,1.20444868785907,0.228416203356005,NA
"ctp",5231.75397642819,-0.376555754971402,0.128869540877388,-2.92199190287854,0.00347800582297343,0.044491819855762
"CG9650",15.4323742432016,1.03029996723141,1.05577010609894,0.975875298305577,0.329126264492889,0.637909851828565
"ct",326.195229199186,1.65094212296238,0.377766003005437,4.37027712877227,1.24088949831999e-05,0.000551178166052716
"mei-P26",1434.43438264532,0.418989460642236,0.209020100064587,2.00454147956473,0.0450120882320849,0.225630417511014
"CG1354",2826.89626035751,0.42287974600253,0.117444417152064,3.60067984717397,0.000317386198091698,0.00798556963770839
"CG17841",7112.44608975395,0.916233741769486,0.30865748227261,2.96844818088763,0.00299307564120825,0.039947329106428
"flw",1495.13384178023,0.301790579008681,0.140598413740383,2.14647214701826,0.0318353286391655,0.185209690870266
"ras",1779.00986926384,0.493898764124345,0.188239382257599,2.62378020051331,0.00869598836942892,0.0829577526833588
"sbr",1678.38207875001,0.0314407192212861,0.125829195446457,0.249868236936036,0.802689247463776,0.923472143683486
"5PtaseI",297.549260120156,0.386571369045751,0.204289847703668,1.89226911366879,0.0584551339473111,0.257678649443272
"Nmnat",375.841941630305,-0.282754508432503,0.156916338154176,-1.80194434664086,0.0715541620880434,0.289213861689516
"CG31145",3895.66743405318,0.587387935784309,0.156282560434619,3.75849956739123,0.000170935334175657,0.00498264628612724
"CASK",1506.58115997579,-0.207928049875773,0.135914698921708,-1.52984225786755,0.126055778852541,0.39092658421392
"CG17279",19.4639947380162,-0.07139508500191,0.654256588034837,-0.109123983323357,0.913104152539281,0.96835641240112
"Syp",5618.33874254619,0.133273758075147,0.114935303996411,1.15955457932498,0.246230202765765,0.555900734396012
"CG31122",473.898222615433,0.228347932863306,0.164682328381452,1.38659645577992,0.165564849666231,0.453184516774702
"hpRNA:CR46342",100.69606511264,-1.80218613292696,0.274892079476853,-6.555976935955,5.52787750731532e-11,1.07922166683517e-08
"hpRNA:CR32205",8.03599458539436,1.88378925018545,1.63810889478168,1.14997803637255,0.250152917603515,0.559192037098907
"pre-rRNA:CR45856",9.86648149323849,-1.26727544943962,0.768157189177022,-1.64976057933838,0.0989919144122941,0.343687808722584
"asRNA:CR44019",50.7427302104185,-0.511178762364044,0.421347869747286,-1.21319887690577,0.225053793432891,0.533406718201332
"hpRNA:CR33940",203.763450948957,0.950514139393413,0.252532458806925,3.76392858123689,0.000167264672567675,0.00490974449722249
"hpRNA:CR32207",124.236825247708,1.06635772507692,0.711158391208112,1.49946585494885,0.133752820340644,0.404632406039533
"hpRNA:CR18854",10942.4148225086,-0.456575957649138,0.260818948758402,-1.75054749596459,0.0800238860082357,0.305330940556505
"lncRNA:CR46322",0.770754540560249,3.29260198290074,3.95942735629242,0.831585400264523,0.405643005716647,NA
"mir-9377",1.49163090506455,0.246799453281089,3.7314364765934,0.0661406015697214,0.947265886224674,NA
"mir-9378",17.4247936380974,-0.606435236254704,0.552966349118493,-1.09669464917973,0.272774896304277,0.585520412192339
