"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"lncRNA:CR46219",1.3167596380639,0.666622629805047,1.94738118849517,0.342317484498337,0.732111978813044,NA
"lncRNA:CR46115",1.4848377792991,-2.96946677418299,2.06767830544818,-1.43613576945633,0.150963711562933,NA
"asRNA:CR46082",1.94463070566446,0.936756315135858,1.84451594757252,0.507860241798764,0.611551358743299,NA
"lncRNA:CR46112",7.08062389760045,0.242149340985908,0.784147062664668,0.308806029525944,0.757469082274618,0.902806763534035
"lncRNA:CR46111",1.10799160231791,3.32597051857196,3.10685960579113,1.07052488383202,0.284383114412793,NA
"lncRNA:CR46110",7.62622422667685,0.262509131902979,0.89764380169645,0.292442426948044,0.769948373254682,0.907817637549174
"lncRNA:CR45991",0.564600278228743,2.35174838341733,3.65070735283457,0.64418978464306,0.519452374305716,NA
"lncRNA:CR46085",3.83866727800225,0.509613436959918,1.74745210193859,0.291632277871629,0.770567793523572,NA
"lncRNA:CR46084",1.01297679172981,3.1906501009126,2.35196218579622,1.35659073099955,0.174911288541164,NA
"lncRNA:CR42765",11.3421524054517,2.67037740072619,1.27767364215412,2.0900309066594,0.0366150234618436,0.180880345487755
"lncRNA:CR46062",3.40260372036281,1.45451154024298,1.51007714586997,0.963203465611699,0.335445426284916,NA
"lncRNA:CR46061",24.674693562316,0.745272115584902,0.567261369900494,1.31380727673318,0.188911068216454,0.482070528809137
"lncRNA:CR46060",12.4487329580279,-0.427252165597487,1.07383506026417,-0.397875038176143,0.690722300931291,0.87641315532343
"asRNA:CR46101",0.269442892407542,-2.15582546574826,4.03081732391008,-0.534835814305028,0.592763395347577,NA
"lncRNA:CR45910",3.14131594254189,-2.21221848118772,1.29767160062879,-1.70475987924509,0.0882392170148105,NA
"lncRNA:CR46098",3.80698647521145,1.26971267166992,1.74886424823146,0.726021286645846,0.467825721143988,NA
"lncRNA:CR43166",1.58352958044354,1.72202456164708,1.78379653056991,0.965370507306074,0.334359268066045,NA
"lncRNA:CR46095",0.110019424251241,-1.38205808716508,4.06918663868948,-0.339639886267341,0.734127736930643,NA
"lncRNA:CR46094",6.20655949212053,1.44338658771463,1.1618352629829,1.2423332581668,0.214113629336764,0.513133342653376
"asRNA:CR46093",35.881472131237,0.470747707499746,0.384591079889391,1.22402138821091,0.220944159193671,0.523324948095914
"asRNA:CR46091",1.53799208896802,-0.196574430225751,2.38182846864993,-0.082530892888846,0.934224553149115,NA
"lncRNA:CR46090",0.674132044681534,1.45492990095696,2.80269604491604,0.519117976990812,0.603678472845031,NA
"asRNA:CR46089",9.54939155820912,1.00066991059282,0.968839893253084,1.03285374349405,0.301672348528359,0.609899659739641
"lncRNA:CR46088",3.9945280158156,1.14460647950943,0.997080203217994,1.14795828441414,0.250985785277644,NA
"asRNA:CR46055",1.39785909104277,-1.03024696893059,1.74780891309572,-0.589450575066478,0.555559058176666,NA
"lncRNA:Hsromega",7155.31250455666,0.080406399866433,0.343032052922467,0.234399086561764,0.814675167714574,0.928628789046755
"asRNA:CR45798",0.654223511337825,1.41136321430794,2.75218882020435,0.512814819952341,0.608080862053931,NA
